label,article
1,"Muli na namang pinag-uusapan ang isyu ng noontime show ng TAPE, Inc. sa GMA 7 na sinasabing tsu­tsugihin na raw ito. Ang Tahanang Pinakamasaya nga ba ang tinutukoy sa mga usap-usapang malapit na itong palitan ng ibang programa? Namomroblema na raw sa finances dahil sa palaki nang palaki ang nagagastos nila ngayon. Pero, kapag napapanood naman namin ito sa tanghali, ang dami namang commercial load. Mas marami pa nga siya sa It’s Showtime. Kasabay nito, may kuwento ring wala na raw si Mr. Tony Tuviera sa TAPE, Inc. Pero nung umalis ang TVJ at mga legit Dabarkads sa GMA 7, nakikita pa rin namin ang pangalan ni Mr. T sa closing credits. At sa pagkakaalam namin, may percentage pa rin siya sa programang ‘yun ng TAPE, Inc. Pero ang kasunod pang balita ay nababaon na raw sa utang ang TAPE sa GMA 7 na umabot na diumano ng P800M. Ang buong akala ng iba ay ngayon lang ang utang na ito ng TAPE sa GMA 7. Pero sa pagkakaalam namin at base sa ilang napagtanungan, naipon na ang utang na ito sa GMA 7 mula pa nung Eat Bulaga pa ito nung panahon ng TVJ. Ibig sabihin, under pa ito sa management ni Mr. T at ilang executives na humahawak sa programa. Sana malinaw lang ito ng dating namamahala ng dating Eat Bulaga at lalo na si Mr. T na tahimik pa rin sa isyung ito hanggang sa ngayon. Wala pa kaming nakukuhang sagot mula sa Tahanang Pinakamasaya kung totoo bang malapit na silang tsugihin. Pero sa pagkakaalam namin, may kontrata pa sila sa GMA 7 hanggang December ng taong ito. Ang sabi naman ng ibang napagtanungan namin, kung anu-ano raw kasing naglalabasang balita tungkol sa TAPE na hindi naman totoo. “Kawawa na nga ng TAPE, puro na lang napi-fake news,” bulalas ng isang taga-TAPE na nakatsikahan namin. Baliwag mayor, nag- react sa abot-kamay… Nakakatuwa kapag pinag-uusapan ng ilang televiewers ang mga sinusu­baybayan nilang drama series. Ang isang naaaliw kami kapag naririnig ko ang kuwento ng kasambahay at ng kapitbahay namin, na naloloka na sila sa pagsubaybay sa kuwento ng Abot-Kamay na Pangarap. Ang nasa kuwento ay nasa kulungan na si Moira (Pinky Amador) at sobrang pinapahirapan siya roon ng mga kakosa niya na pinangungunahan ni Jackie Lou Blanco, pati si Sue Prado. Nag-react lang dun siyempre ang alkalde ng Baliwag, Bulacan na si Mayor Ferdie Estrella na ginamit ang kanyang bayan sa ‘di magandang dialogue ng mga karakter ng naturang serye. Narinig ko rin na madalas din daw nako-call ang attention ng programa ng MTRCB. Ang isa pang pinupuri namin ay ang Can’t Buy Me Love ng DonBelle lalo na itong la­test episodes nila na nakita na ni Bingo (Donny Pangilinan) ang kanyang inang si Annie (Ina Raymundo). Napakagaling ni Donny sa eksenang ‘yun, sobrang galing! Hindi ko madalas napupuri si Belle Mariano, pero sa eksenang kinompronta niya ang Auntie Cindy (Agot Isidro) na ito ang pumatay sa kanyang ina! Ang bongga doon ni Belle at ang ganda ng pagdirek sa eksenang ‘yun. Madrama, pero totoong-totoo, hindi pang-teleserye ang dating. Maganda talaga kapag pinag-aaralan ng mga writer at director ang mga soap na ipinapalabas nila, kung paano ibahin ang atake sa mga highlight na eksena na hindi predictable at pang-soap ang dating. Kaya gusto kong palakpakan ang mga dalawang teleseryeng ito na sana mas humaba pa at patuloy na tangkilikin ng mga mano­nood."
1,"MANILA, Philippines — Dinakip ng mga tauhan ng Bureau of Immigration (BI) ang isang dating sundalo ng Taiwan Army na nahaharap sa kasong katiwalian sa kaniyang bansa, sa ikinasang operasyon kamakailan sa Cebu City. Kinilala ni Immigration Commissioner Norman Tansingco ang inaresto na si Li Chen Yu, 36-anyos, Taiwanese national.      Dinakip si Li ng mga tauhan ng BI-Fugitive Search Unit at PNP-Cri­minal Investigation and Detection Group (CIDG) sa may Brgy. Banilad, Cebu City nitong nakaraang Huwebes. Armado ang mga ope­ratiba ng Warrant of Deportation nang arestuhin si Li sa kanyang lungga sa Cebu City.  Inilagay na rin siya sa blacklist ng bansa. Ayon sa Taiwan Economic and Cultural Office (TECO) sa Manila, may warrant of arrest ang suspek mula sa Taoyuan District Prosecutor’s Office sa Taiwan dahil sa kaso ng korapsyon. Noong dating kapitan sa military dependent service division ng Taiwan 6th Army Command, inabuso umano ni Li ang kanyang posisyon nang pekehin nito ang mga lease contracts ng mga lupain na nakareserba sa mga dependents ng mga sundalo. Ibinulsa umano ni Li ang mga upa at deposito sa mga pinauupahang lupain na aabot sa 4 mil­yong Taiwanese dollars o katumbas na US$128,000. Dumating sa Pilipinas si Li para magtago noong Marso 8, 2020 at isa nang overstaying alien."
1,"COTABATO CITY, Philippines — Apat na hinihinalang dealer ng shabu sa dalawang probinsya ng Bangsamoro region na may koneksyon diumano sa mga lokal na teroristang grupo ang naaresto sa magkakahiwalay na operasyon ng pulisya mula Miyerkules hanggang Sabado. Sa ulat, isang magsasaka na Maguindanaon na pinaniniwalaang “asset” o informer ng Dawlah Islamiya at Bangsamoro Islamic Freedom Fighters (BIFF) na si Aladin Ana Anguso ang nalambat ng mga pulis na pinamumunuan ni Lt. Col. Esmael Madin, sa Barangay Ladia, Sultan Kudarat, Maguindanao del Norte, sa ikinasang isang operasyon sa tulong ng mga residente roon. Kasunod nito, isang big-time shabu dealer na matagal nang may mga kaso sa pagtutulak sa Lanao de Sur, na isang Maranaw at naiulat na dating kasapi ng nabuwag ng Maute terror group, ang mapayapang nasilbihan ng warrant of arrest mula sa isang korte sa isang operasyon sa Barangay Poblacion, Bacolod Kalawi at ngayo’y nasa kustodiya ng Lanao del Sur Provincial Police Office at ng Bacolod Kalawi Municipal Police Station. Samantala, dalawang etnikong Iranun naman ang na-entrap ng mga pulis sa Barangay Marang sa Barira, Maguindanao del Norte na parehong matagal nang minamanmanan ng pulisya at intelligence agents ng provincial police."
1,"Dahil sa technical glitches... Maganda ang feedback sa Rivermaya ­Reunion concert last weekend. Totoo bang pinatunayan nila na kung live na kantahan, mas angat ang vocal prowess nina Bamboo and Rico Blanco than Ely Buendia of the Eraserheads? At astig pa rin ang rhythm section at wala pa ring kupas sina Mark Escueta and Nathan Hachero Azarcon. Rak en roll talaga! There were a few technical issues where the audio stopped for a few seconds during the initial set but the biggest drawback was when during the band was playing 20 Million. Bakit wala nang marinig? Parang hindi alam ito ng banda and they continued to play – until they were told by the techs na tumigil. Kinawayan na lang ng banda ‘yung audience to pacify them, while the sound engineers tried to fix the problem. Anyare? Totoo bang na-overhear during the break: “Ano na Live Nation???”, “May masisibak na sound engineer dyan sigurado!”, “Refund! Refund!”, “Sa Coldplay ang mahal din ng ticket pero maayos ‘yung program! Dafuck!” “Malamang badtrip na si Bamboo...” Sabeeeh? Everybody turned on and waved their cell phone during Rico’s epic performance of You’ll Be Safe Here on the piano. ‘Di ba proud na proud ka sa Oppa mo, Maris Racal? Ang tanong lang ng iba, bakit hindi kinanta ang Liwanag Sa Dilim? Bawal ba? South Border, malabong mag-reunion! Next question: sino ang susunod na major band na magsasama at magre-reunion nang buo at hindi tingi-tingi tulad ng Side A? Kaya kaya ng South Border? Paging Brix Ferraris, ‘di ba? Sa anak nga niya hindi siya nagpapakita, sa concert pa kaya? Nakakata-quote: “Nine years too late, but made it still.” - Cecilia Ongpauco, mom of Heart Evangelista on Heart’s recent renewal of vows with Senator Chiz Escudero"
1,"COTABATO CITY, Philippines — Apat na hinihinalang dealer ng shabu sa dalawang probinsya ng Bangsamoro region na may koneksyon diumano sa mga lokal na teroristang grupo ang naaresto sa magkakahiwalay na operasyon ng pulisya mula Miyerkules hanggang Sabado. Sa ulat, isang magsasaka na Maguindanaon na pinaniniwalaang “asset” o informer ng Dawlah Islamiya at Bangsamoro Islamic Freedom Fighters (BIFF) na si Aladin Ana Anguso ang nalambat ng mga pulis na pinamumunuan ni Lt. Col. Esmael Madin, sa Barangay Ladia, Sultan Kudarat, Maguindanao del Norte, sa ikinasang isang operasyon sa tulong ng mga residente roon. Kasunod nito, isang big-time shabu dealer na matagal nang may mga kaso sa pagtutulak sa Lanao de Sur, na isang Maranaw at naiulat na dating kasapi ng nabuwag ng Maute terror group, ang mapayapang nasilbihan ng warrant of arrest mula sa isang korte sa isang operasyon sa Barangay Poblacion, Bacolod Kalawi at ngayo’y nasa kustodiya ng Lanao del Sur Provincial Police Office at ng Bacolod Kalawi Municipal Police Station. Samantala, dalawang etnikong Iranun naman ang na-entrap ng mga pulis sa Barangay Marang sa Barira, Maguindanao del Norte na parehong matagal nang minamanmanan ng pulisya at intelligence agents ng provincial police."
1,"MANILA, Philippines — Nagbigay ng katiyakan ang Malacañang na tutulu­ngan ang  libu-libong magsasaka sa Kanlurang Visayas, Zamboanga Peninsula, at iba pang rehiyong apektado ng El Niño. Sinabi ni Presidential Communications Office Assistant Secretary Joey Villarama na halos 4,000 magsasaka ang apektado ng tagtuyot sa mga rehiyong ito. Ayon sa Task Force El Niño, ang gobyerno ay nagbibigay sa mga magsasaka ng heat-tolerant na binhi, mga alagang hayop at tulong pinansyal. Bukod sa mga direktang interbensyon para sa kanila, nire-rehabilitate rin ang mga irrigation canals at ang kanilang mga kagamitan para lalo pang matulungan ang mga lubhang naapektuhang mga magsasaka. Nauna rito, nagbabala ang PAGASA na mas titindi pa ang init ng panahon sa susunod na buwan dahil pumasok na ang kasagsagan ng El Niño. Sa forecast, maaaring pumalo sa 36.5 degrees celsius ang pinakamataas na temperatura ngayong darating na Marso. Sinabi ng weather bureau na ngayong 2024 ay posibleng maranasan ang pinakamainit na taon lalo na’t sasabayan ng dry season ang El Niño."
1,"MANILA, Philippines — Ikinasa ng LTO sa Marikina Upang higit na mapalapit ang serbisyo publiko at maglaho ang fixers, nagsagawa ang Land Transportation Office (LTO) ng on-site issuance ng student permits, renewal ng driver’s license at rehistro ng mga sasakyan sa Marikina kamakalawa. Ayon kay LTO Chief Vigor D. Mendoza II, libreng naipagkakaloob ng LTO ang medical services sa outreach program. “This is part of the instruction of President “Bongbong” Marcos, Jr. and DOTr Secretary Jaime J. Bautista to bring the government services closer to the people under the Bagong Pilipinas program. Ito rin ang sagot ng inyong LTO upang tuluyang tuldukan ang mga maling gawain ng fixers na nagpapasama sa imahe ng aming ahensya”sabi ni Mendoza. Kaugnay nito, inatasan ni Mendoza ang lahat ng Regional Directors at District Offi­ces  na magsagawa rin ng katulad na on-site issuance ng student permits at iba pang LTO-related transactions sa kanilang area of responsibility bilang bahagi ng  information dissemination at public service."
1,"MANILA, Philippines — Isang magkapatid na lalaki ang binaril ng sekyu na ikinasawi ng isa dito sa gitna ng mainitang pagtatalo sa parke na sakop ng South Luzon Expressway-San Miguel Corp., sa Calamba City, Laguna nitong Sabado ng hapon. Nag-viral ang video footage na makikita na ang biktima ay kawani ng  South Luzon Expressway-San Miguel Corp. ay nakitang binaril ng isa sa dalawang sekyu habang nagtatalo sa gitna ng admin. building ng  Calamba Premiere International Park (CPIP), Barangay Batino, Calamba City. Naiposte ang video Facebook account, na kung saan ay makikita ang biktimang si  Ronald, welder, at kapatid na si Robert Santilla, ay nagpapahinga lang sa tabi ng CPIP sa kahabaan ng LEX noong Sabado sa pagitan ng 1:15 ng hapon. Nakunan ng CCTV ang dalawang sekyu na alyas Demetrio at Al Jun, sekyu ng Hunter Security Agency sa Barangay Batino ang mainitang pagtatalo dahil sa tumatakbo sa loob ng bakal na bakod ang magkapatid. Sa gitna ng mainitang pagtatalo ay pinagbabaril ng isang sekyu ang magkapatid na kung saan ay namatay si Ronald noon din.Naaresto na ang suspek at nakatakdang kasuhan."
1,"May foreign film din palang natapos si Lovi Poe. Ang Bad Man. “So happy to finally announce being part of BAD MAN. Can’t wait to share more about this amazing film with an even more amazing cast! “ (Yes, this was the reason why I was in Alabama!)” Aside from Lovi starring din sa movie ang American actor na si William Scott with Rob Riggle and Chance Perdomo. Actually, marami raw iba pang project si Lovi na nakahanda na. Kaya malabo raw ang possibility na bumalik ang bagong kasal na actress sa FPJ’s Batang Quiapo. May clamor na ibalik siya dahil nga sa na-develop sa kilig sa kanila ni Coco Martin. Saka parang nabawasan daw ang rating nito nung mawala si Lovi. Si Ivana Alawi ngayon ang leading lady ni Coco. Matagal-tagal na ring wala sa Batang Quiapo si Lovi."
1,"MANILA, Philippines — Itinumba ng SGA-St. Benilde ang 1Munti, 97-74, sa likod ng mga bagong hugot na sina Ian Torres at Roger Ondoa sa PSL President’s Cup sa Filoil-EcoOil Centre. Ito ang pang-walong panalo ng Blazers sa 12 laro tampok an tig-15 points nina Torres at Ondoa na miyembro ng NCRAA champion team na Immaculada Concepcion College bago sila kinuha ng St. Benilde para sa susunod na NCRAA season. Natala abg Blazers ng 25-point lead mula sa kanilang fastbreaks kung saan nahirapang makahabol ang 1Munti na mayroon lang naipong tatlong puntos mula rito. Nakahugot ang St. Benilde ng 46 bench points kumpara sa 25 ng 1Munti. Samantala, naungusan naman ng CamNorte ang Novaliches, 102-100, sa labanan ng dalawang Warriors. Kumamada si James Martinez ng triple-double performance na 17 points, 16 assists at 12 rebounds para tulungan ang Warriors ng CamNorte sa kanilang ikalawang panalo sa 12 laban."
